epoca,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.9475378394126892,0.9786528944969177,0.1591121256351471,0.965770959854126,0.9041629433631897,0.959867000579834,0.9888649582862854,0.13723058998584747,0.9800713658332825,0.9209055304527283,0.0010000000474974513
2,0.9529191851615906,0.9842233657836914,0.13790878653526306,0.9715999960899353,0.9118897914886475,0.9606696367263794,0.9888416528701782,0.12659628689289093,0.9876394271850586,0.915595293045044,0.0010000000474974513
3,0.9551306962966919,0.9848731160163879,0.13425323367118835,0.9742902517318726,0.9147648811340332,0.9595229625701904,0.9884406328201294,0.11751265823841095,0.9843797087669373,0.9158747792243958,0.0010000000474974513
4,0.953926682472229,0.9854449033737183,0.132249116897583,0.9732404947280884,0.9127882719039917,0.9603256583213806,0.98872309923172,0.1233406811952591,0.9867469668388367,0.915595293045044,0.0010000000474974513
5,0.957342267036438,0.9856749773025513,0.12940675020217896,0.9772828817367554,0.9173405170440674,0.9612429738044739,0.9875476956367493,0.12031092494726181,0.9844497442245483,0.9200670719146729,0.0010000000474974513
6,0.9576125144958496,0.986815333366394,0.12549591064453125,0.9787030220031738,0.916621744632721,0.9600962996482849,0.9881804585456848,0.11498164385557175,0.9873265027999878,0.9144773483276367,0.0005000000237487257
7,0.9579565525054932,0.9867593050003052,0.12435110658407211,0.9778061509132385,0.9183588027954102,0.9618163108825684,0.9887710809707642,0.11160730570554733,0.9888520836830139,0.9172722101211548,0.0005000000237487257
8,0.9583251476287842,0.9874263405799866,0.12252450734376907,0.97959965467453,0.9175202250480652,0.9618163108825684,0.9879400730133057,0.12381499260663986,0.9804560542106628,0.9253773093223572,0.0005000000237487257
9,0.958620011806488,0.9872137904167175,0.12262248247861862,0.9801676273345947,0.917699933052063,0.9618163108825684,0.9889703392982483,0.10866818577051163,0.9853425025939941,0.9206260442733765,0.0005000000237487257
10,0.9598977565765381,0.9878303408622742,0.1202942356467247,0.980233371257782,0.9208146333694458,0.9604403376579285,0.9882851839065552,0.11080088466405869,0.9867509603500366,0.9158747792243958,0.0005000000237487257
11,0.9581531286239624,0.9862102270126343,0.12712302803993225,0.9795905351638794,0.9171009063720703,0.9626189470291138,0.9905036091804504,0.10067356377840042,0.9939246773719788,0.9144773483276367,9.999999747378752e-06
12,0.9609052538871765,0.9883198142051697,0.11813333630561829,0.9801017045974731,0.9234501123428345,0.9659442901611328,0.9914634823799133,0.10776906460523605,0.9795381426811218,0.9365567564964294,9.999999747378752e-06
13,0.9625270366668701,0.9892584085464478,0.11325253546237946,0.9810375571250916,0.9265648126602173,0.9636509418487549,0.9905557036399841,0.12948709726333618,0.9646623134613037,0.9460592269897461,9.999999747378752e-06
14,0.9629693627357483,0.9900027513504028,0.11045816540718079,0.9830174446105957,0.9257262945175171,0.9677789211273193,0.9916115999221802,0.09411504864692688,0.9922364950180054,0.9287311434745789,4.999999873689376e-06
15,0.9639522433280945,0.9900470972061157,0.10897351056337357,0.9826318621635437,0.9285414814949036,0.9650269746780396,0.991044819355011,0.1100321039557457,0.9720219373703003,0.9418669939041138,4.999999873689376e-06
