epoca,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.9404364228248596,0.9721900820732117,0.18104083836078644,0.9579055309295654,0.894106388092041,0.9619265794754028,0.9867763519287109,0.13535118103027344,0.990326464176178,0.9161073565483093,0.0010000000474974513
2,0.9524277448654175,0.9815414547920227,0.14865168929100037,0.9713847637176514,0.9108768701553345,0.9628440141677856,0.9882076978683472,0.13250632584095,0.9856630563735962,0.9228187799453735,0.0010000000474974513
3,0.9532140493392944,0.9840880036354065,0.13729675114154816,0.975321352481842,0.908960223197937,0.9628440141677856,0.9898606538772583,0.11702927947044373,0.9833531379699707,0.9250559210777283,0.0010000000474974513
4,0.9534106254577637,0.9849733710289001,0.1340114325284958,0.9681174159049988,0.9166267514228821,0.9655963182449341,0.9905900955200195,0.10324806720018387,0.9904191493988037,0.9250559210777283,9.999999747378752e-06
5,0.9587182998657227,0.9876176714897156,0.12144573032855988,0.9759127497673035,0.9221370220184326,0.9669724702835083,0.9905322194099426,0.11498693376779556,0.9846698045730591,0.9340044856071472,9.999999747378752e-06
