epoca,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.9381757378578186,0.9653254747390747,0.19563178718090057,0.963156521320343,0.8830857872962952,0.9623852968215942,0.9861335754394531,0.1572076380252838,0.9844868779182434,0.9228187799453735,0.0010000000474974513
2,0.9470218420028687,0.9759659767150879,0.16586285829544067,0.9731840491294861,0.8955438137054443,0.9642201662063599,0.9884172677993774,0.1386146992444992,0.9915662407875061,0.9205816388130188,0.0010000000474974513
3,0.9478081464767456,0.9791781902313232,0.15481550991535187,0.9742254614830017,0.8965021371841431,0.9628440141677856,0.9884315729141235,0.11187689006328583,0.9891696572303772,0.9194630980491638,0.0010000000474974513
4,0.9492824673652649,0.9809759855270386,0.14864487946033478,0.9680142998695374,0.9063248634338379,0.9674311876296997,0.9898993968963623,0.10045284032821655,0.9963811635971069,0.9239373803138733,9.999999747378752e-06
5,0.9567524790763855,0.9837175607681274,0.1360292285680771,0.9774935841560364,0.9156684279441833,0.9651376008987427,0.9891657829284668,0.11658775061368942,0.9766899943351746,0.9373601675033569,9.999999747378752e-06
