epoca,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.9024228453636169,0.9509806036949158,0.26272138953208923,0.9243596792221069,0.8300688862800598,0.8940488696098328,0.9457401633262634,0.3911319375038147,0.8619748950004578,0.8831749558448792,0.0010000000474974513
2,0.9217367768287659,0.9641316533088684,0.21460437774658203,0.9622912406921387,0.8422282338142395,0.4107327163219452,0.5147339105606079,7.829918384552002,0.41046231985092163,1.0,0.0010000000474974513
3,0.9268232583999634,0.9670066237449646,0.20483657717704773,0.968957245349884,0.848816990852356,0.41027405858039856,0.5,32.14484405517578,0.41027405858039856,1.0,0.0010000000474974513
4,0.931983470916748,0.9713700413703918,0.18887045979499817,0.9742559194564819,0.8568433523178101,0.9352138638496399,0.9751487970352173,0.17277264595031738,0.9566535353660583,0.8820570111274719,0.0005000000237487257
5,0.9334086775779724,0.9730060696601868,0.1845877468585968,0.9721790552139282,0.8623539805412292,0.6818025708198547,0.8282644152641296,1.526879906654358,0.5718889832496643,0.8926774859428406,0.0005000000237487257
6,0.9364556670188904,0.9748666882514954,0.17967456579208374,0.9747627973556519,0.8675651550292969,0.9339525103569031,0.974863588809967,0.173628032207489,0.9947264194488525,0.8434879779815674,0.0005000000237487257
7,0.9401906728744507,0.9781289100646973,0.1671101450920105,0.9769245982170105,0.8748727440834045,0.9466804265975952,0.9821895360946655,0.14470592141151428,0.9847399592399597,0.8837339282035828,0.0002500000118743628
8,0.9406329989433289,0.978887140750885,0.16448642313480377,0.9747955203056335,0.8779874444007874,0.9297099113464355,0.9813458323478699,0.17616824805736542,0.9056087732315063,0.9250978231430054,0.0002500000118743628
9,0.941615879535675,0.9798320531845093,0.16179399192333221,0.9747364521026611,0.8805031180381775,0.9475977420806885,0.9847179055213928,0.13860061764717102,0.9642963409423828,0.9058132767677307,0.0002500000118743628
10,0.9433113932609558,0.9808970093727112,0.15696631371974945,0.9744756817817688,0.8849955201148987,0.9461070895195007,0.9635229706764221,0.2536178231239319,0.989294707775116,0.8781442046165466,0.0002500000118743628
11,0.9441714286804199,0.9811745285987854,0.15661069750785828,0.9755357503890991,0.8861335515975952,0.9423231482505798,0.9843066930770874,0.1543395221233368,0.9409234523773193,0.916992723941803,0.0002500000118743628
12,0.9442451596260071,0.98161381483078,0.15438833832740784,0.9746019244194031,0.8872117400169373,0.9504643678665161,0.9846116900444031,0.13126085698604584,0.9863945841789246,0.8915595412254333,0.0001250000059371814
13,0.9458423256874084,0.9824060201644897,0.1512724906206131,0.9746478796005249,0.891165018081665,0.9436991214752197,0.9857921600341797,0.15437334775924683,0.9339330792427063,0.928451657295227,0.0001250000059371814
14,0.9468989372253418,0.9830666184425354,0.1492593139410019,0.9729887843132019,0.8954178094863892,0.9471390843391418,0.9838541150093079,0.14023305475711823,0.9537118077278137,0.915595293045044,0.0001250000059371814
15,0.9473658204078674,0.9836400747299194,0.1459389626979828,0.9721014499664307,0.8974543213844299,0.9378511905670166,0.9857873320579529,0.17181843519210815,0.9122759103775024,0.9387926459312439,6.25000029685907e-05
16,0.9472920894622803,0.9836945533752441,0.14693984389305115,0.9725867509841919,0.8967954516410828,0.9415204524993896,0.9856283664703369,0.16608241200447083,0.9265850782394409,0.9312465190887451,6.25000029685907e-05
17,0.9478818774223328,0.9847858548164368,0.14236311614513397,0.9711016416549683,0.8997304439544678,0.9518404006958008,0.9863987565040588,0.13711950182914734,0.9638660550117493,0.916992723941803,3.125000148429535e-05
